d,n,omega,seed,row_index,eta_col_sum_excl,delta_E1,abs_r_l,drop_E1
4,48,1.0,3,39,34.53863450862629,-2.5348819204421744,1.1635755359561628,2.5348819204421744
4,48,1.0,3,8,47.029055929585056,-0.9804415168011857,1.1871848504134568,0.9804415168011857
4,48,1.0,3,39,34.53863450862629,-2.5348819204421744,1.1635755359561628,2.5348819204421744
4,48,1.0,3,12,59.62552567856316,1.4972955886174617,0.4578570854107209,-1.4972955886174617
4,48,1.0,3,41,50.911374599147145,0.5364158887284916,0.26057339339440455,-0.5364158887284916
4,48,1.0,3,46,55.3087527947761,2.7041070681296304,1.153549232269726,-2.7041070681296304
4,48,1.0,3,5,56.56167511069916,-0.6412978106531142,0.16648849825481427,0.6412978106531142
4,48,1.0,3,17,31.40252293247861,-1.231327701722737,1.6577997686316186,1.231327701722737
4,48,1.0,3,6,44.85414143061544,-0.9872473127829267,0.228821397781255,0.9872473127829267
4,48,1.0,3,24,41.67997768051251,2.191049333830847,0.6829612074610982,-2.191049333830847
4,48,1.0,3,46,55.3087527947761,2.7041070681296304,1.153549232269726,-2.7041070681296304
4,48,1.0,3,34,41.986875872336896,-2.033953409869177,0.671703542781547,2.033953409869177
4,48,1.0,3,24,41.67997768051251,2.191049333830847,0.6829612074610982,-2.191049333830847
4,48,1.0,3,38,42.68564443432118,1.1240537945838582,0.4923205192775564,-1.1240537945838582
4,48,1.0,4,17,49.274094909593515,0.07785729263600416,0.17679426256180797,-0.07785729263600416
4,48,1.0,4,14,55.351818398895034,-0.6244908876183288,0.35476596573257213,0.6244908876183288
4,48,1.0,4,44,45.35070806554988,-0.1410632438246502,0.2295369254503905,0.1410632438246502
4,48,1.0,4,18,48.5186987422384,0.7408857672651266,0.8839973394006697,-0.7408857672651266
4,48,1.0,4,42,51.53534716749149,0.5010636037397873,1.1281464590690973,-0.5010636037397873
4,48,1.0,4,35,59.10696831710557,0.6214892115407764,0.5266629214339846,-0.6214892115407764
4,48,1.0,4,42,51.53534716749149,0.5010636037397873,1.1281464590690973,-0.5010636037397873
4,48,1.0,4,22,47.55012963249607,1.5140936516896204,1.243056632031271,-1.5140936516896204
4,48,1.0,4,39,38.39976258761879,-0.6899046446716177,0.4394521781264187,0.6899046446716177
4,48,1.0,4,46,51.651699875053424,0.5540817810622052,0.24632030352270817,-0.5540817810622052
4,48,1.0,4,45,37.547627087891996,-0.2465273098160452,0.14851623147963178,0.2465273098160452
4,48,1.0,4,12,40.6934662079963,2.4457736269907144,2.399934398967593,-2.4457736269907144
4,48,1.0,4,44,45.35070806554988,-0.1410632438246502,0.2295369254503905,0.1410632438246502
4,48,1.0,4,47,45.59738552168962,1.8094074618767806,1.3436608346224177,-1.8094074618767806
4,48,1.0,4,9,43.01874286529652,-0.030770994124498685,0.014630943444268851,0.030770994124498685
4,48,1.0,4,37,35.793511514888536,-0.15723989482987832,0.20790053345424875,0.15723989482987832
4,48,1.0,4,29,46.03369107615537,0.49349274371064666,0.4942891608732318,-0.49349274371064666
4,48,1.0,4,21,51.634806055342196,0.12589653154632785,0.6665472446177712,-0.12589653154632785
4,48,1.0,4,22,47.55012963249607,1.5140936516896204,1.243056632031271,-1.5140936516896204
4,48,1.0,4,10,46.629685733949216,-0.2540671986724128,0.4116617880424447,0.2540671986724128
4,48,1.0,5,39,42.155193690358274,-3.2679785086246156,0.868313033258707,3.2679785086246156
4,48,1.0,5,31,41.15852826658648,0.7429274937380619,0.3518829691709562,-0.7429274937380619
4,48,1.0,5,33,40.948776554804844,0.17580591698320802,0.32356559162220666,-0.17580591698320802
4,48,1.0,5,36,42.16112730759208,6.356951848273276,1.598405822219405,-6.356951848273276
4,48,1.0,5,14,47.36233901244285,-2.7405618096501954,0.7199427689352507,2.7405618096501954
