d,n,omega,seed,row_index,predicted_step_size,observed_step_size,abs_r_l,beta_l,err_step
4,48,1.0,4,44,0.12698141037623528,0.1269814103762353,0.7102043123691208,31.281409755455954,2.7755575615628914e-17
4,48,1.0,4,7,0.13742014845775075,0.1374201484577508,0.7328214721688071,28.437770509696765,5.551115123125783e-17
4,48,1.0,4,3,0.16744479986455507,0.1674447998645551,0.8762757239413896,27.386607094731005,2.7755575615628914e-17
4,48,1.0,4,31,0.012520878707616482,0.012520878707616492,0.0581896470125165,21.59841235735868,1.0408340855860843e-17
4,48,1.0,4,18,0.016686603564596485,0.016686603564596485,0.08554995776933705,26.28474103215653,0.0
4,48,1.0,4,22,0.0036414905459757766,0.003641490545975753,0.019048453405781096,27.36283340431425,2.3418766925686896e-17
4,48,1.0,4,16,0.10006386257884807,0.10006386257884808,0.6360881219777283,40.40918072171745,1.3877787807814457e-17
4,48,1.0,4,13,0.18299316731852258,0.18299316731852258,0.9118421596961084,24.82959228184035,0.0
4,48,1.0,4,12,0.04627158442592431,0.046271584425924314,0.3118620226268236,45.42513648420272,6.938893903907228e-18
4,48,1.0,4,3,0.16744479986455507,0.1674447998645551,0.8762757239413896,27.386607094731005,2.7755575615628914e-17
4,48,1.0,5,0,0.002783817638317371,0.0027838176383173877,0.015723279375195798,31.90102943944687,1.691355389077387e-17
4,48,1.0,5,47,0.10307719003569882,0.1030771900356988,0.4302029622048673,17.418937111584583,1.3877787807814457e-17
4,48,1.0,5,20,0.0902454667743233,0.09024546677432335,0.4933110269868779,29.880706076584673,5.551115123125783e-17
4,48,1.0,5,45,0.09849218086506173,0.09849218086506177,0.6029592126860441,37.47765098871419,4.163336342344337e-17
4,48,1.0,5,46,0.14589810407915405,0.14589810407915407,0.9368521875149285,41.23280248728496,2.7755575615628914e-17
4,48,1.0,5,12,0.0205167817540254,0.020516781754025378,0.12322346900324543,36.071847354495226,2.0816681711721685e-17
4,48,1.0,5,24,0.22091587916412533,0.22091587916412542,1.5687312961675417,50.42469203898187,8.326672684688674e-17
4,48,1.0,5,22,0.14077211178307045,0.14077211178307045,0.7341083711612284,27.194877162064238,0.0
4,48,1.0,5,14,0.0729602540736882,0.07296025407368815,0.4005635662413658,30.141871534629203,4.163336342344337e-17
4,48,1.0,5,11,0.32297124129954546,0.3229712412995454,1.762637286667177,29.785040878314483,5.551115123125783e-17
4,48,1.0,5,38,0.09830949131765976,0.09830949131765981,0.5502921316111724,31.33254760992137,5.551115123125783e-17
4,48,1.0,5,31,0.15377968005148182,0.1537796800514818,0.9484143974161219,38.036309305292775,2.7755575615628914e-17
4,48,1.0,5,3,0.12036844748714959,0.12036844748714957,0.6444873215560158,28.668398883506132,1.3877787807814457e-17
4,48,1.0,5,35,0.28416242307553635,0.28416242307553635,1.226926307001612,18.642478981578876,0.0
4,48,1.0,5,32,0.007261988725082378,0.007261988725082393,0.04009993978537052,30.4913252339582,1.474514954580286e-17
4,48,1.0,5,36,0.1549879846921113,0.15498798469211128,0.8140701504138157,27.588468921367486,2.7755575615628914e-17
4,48,1.0,5,35,0.28416242307553635,0.28416242307553635,1.226926307001612,18.642478981578876,0.0
4,48,1.0,5,30,0.02177089558506121,0.021770895585061234,0.12429945860723235,32.597619367039194,2.42861286636753e-17
4,48,1.0,5,47,0.10307719003569882,0.1030771900356988,0.4302029622048673,17.418937111584583,1.3877787807814457e-17
4,48,1.0,5,36,0.1549879846921113,0.15498798469211128,0.8140701504138157,27.588468921367486,2.7755575615628914e-17
