test,signal,eps,repeat,seed_noise,iter_seed,init_dist,init_rel,A_seed,omega,power_iters,passes,final_dist,log_final_dist,final_rel_l2,final_meas_rel,wall_sec
prob1_warm_start,real_patch,0.0001,2,32359,1,9.952015436391539e-05,9.95201543639154e-05,5,1.0,1,80,0.00939008680800075,-4.6681007410761834,0.009390086808000752,0.005758852531265317,263.51164269447327
prob1_warm_start,gaussian,0.1,0,12346,1,0.09922324778567268,0.0992232477856727,5,1.0,1,80,7.889603428406034e-16,-34.77581561686959,7.889603428406035e-16,4.457591497753639e-16,264.65086126327515
prob1_warm_start,gaussian,0.1,1,22353,1,0.09848050684413145,0.09848050684413147,5,1.0,1,80,7.372951285937022e-16,-34.84354341600747,7.372951285937023e-16,4.2514417161341213e-16,261.6573612689972
prob1_warm_start,gaussian,0.1,2,32360,1,0.09900388414295173,0.09900388414295175,5,1.0,1,80,7.45666190832774e-16,-34.83225363920318,7.456661908327741e-16,4.043510039416576e-16,288.4083969593048
prob1_warm_start,gaussian,0.05,0,12346,1,0.04968387781157658,0.049683877811576585,5,1.0,1,80,8.129530044808739e-16,-34.74585837108236,8.12953004480874e-16,4.54964369412269e-16,264.5771207809448
prob1_warm_start,gaussian,0.05,1,22353,1,0.049380973839891595,0.0493809738398916,5,1.0,1,80,6.623971398006446e-16,-34.9506663887649,6.623971398006447e-16,3.8530555559903706e-16,260.5444231033325
prob1_warm_start,gaussian,0.05,2,32360,1,0.04965044443499257,0.04965044443499258,5,1.0,1,80,7.436091179230498e-16,-34.83501615625539,7.436091179230499e-16,4.295415572491049e-16,275.2366306781769
prob1_warm_start,gaussian,0.01,0,12346,1,0.00993489658398998,0.009934896583989982,5,1.0,1,80,7.787314400442327e-16,-34.78886543708418,7.787314400442328e-16,4.299718707642007e-16,261.67167472839355
prob1_warm_start,gaussian,0.01,1,22353,1,0.009885432280652194,0.009885432280652195,5,1.0,1,80,7.428972277951895e-16,-34.835973959340905,7.428972277951896e-16,4.0177175897835206e-16,260.361704826355
prob1_warm_start,gaussian,0.01,2,32360,1,0.009940565987505805,0.009940565987505806,5,1.0,1,80,7.498897423980836e-16,-34.826605488305404,7.498897423980837e-16,4.2352620022085876e-16,268.15947365760803
prob1_warm_start,gaussian,0.005,0,12346,1,0.004966909888340126,0.0049669098883401265,5,1.0,1,80,7.475875424189246e-16,-34.82968026188133,7.475875424189247e-16,4.269665050811486e-16,260.44374918937683
prob1_warm_start,gaussian,0.005,1,22353,1,0.0049428742576570405,0.004942874257657041,5,1.0,1,80,7.312897393590611e-16,-34.851721932400714,7.312897393590612e-16,4.164801391716006e-16,260.0445556640625
prob1_warm_start,gaussian,0.005,2,32360,1,0.004970518042986051,0.0049705180429860515,5,1.0,1,80,7.010879552412204e-16,-34.8938983236289,7.010879552412205e-16,4.075977182414617e-16,258.83445858955383
prob1_warm_start,gaussian,0.001,0,12346,1,0.0009932823880957455,0.0009932823880957457,5,1.0,1,80,7.437810391042846e-16,-34.834784984654334,7.437810391042847e-16,4.339754409647669e-16,271.40468883514404
prob1_warm_start,gaussian,0.001,1,22353,1,0.0009885867055692635,0.0009885867055692637,5,1.0,1,80,7.785480345102491e-16,-34.78910098316031,7.785480345102492e-16,4.3022894854391865e-16,659.1862819194794
prob1_warm_start,gaussian,0.001,2,32360,1,0.0009941277482512466,0.0009941277482512468,5,1.0,1,80,6.848450356924898e-16,-34.91733908648983,6.848450356924899e-16,3.7880055140586695e-16,276.64435052871704
prob1_warm_start,gaussian,0.0001,0,12346,1,9.93258334599054e-05,9.932583345990541e-05,5,1.0,1,80,7.421831909667482e-16,-34.83693557310195,7.421831909667483e-16,4.209824693968624e-16,265.35032391548157
prob1_warm_start,gaussian,0.0001,1,22353,1,9.885877255424175e-05,9.885877255424176e-05,5,1.0,1,80,6.544838934180146e-16,-34.962684697832664,6.544838934180147e-16,3.652163427307804e-16,287.44222950935364
prob1_warm_start,gaussian,0.0001,2,32360,1,9.941315294593049e-05,9.94131529459305e-05,5,1.0,1,80,7.674433643367348e-16,-34.8034669895494,7.674433643367349e-16,4.1958060865276717e-16,258.11990904808044
